,Brand,Model,Variant,Year,driven kilometers,fuel,Transmission,number of owners,location,Price
303,Maruti Suzuki ,Baleno ,1.2 CVT Alpha,2018,39000.0 KM,PETROL,AUTOMATIC,1st, Ghaziabad,"7,50,001"
304,Volkswagen ,Passat ,2010-2014 Diesel Highline 2.0 TDI,2012,177064 KM,DIESEL,AUTOMATIC,Second, Mumbai,"4,75,000"
305,Mah,Bolero ,2001-2010 SLX 2WD BSII,2009,204996 KM,DIESEL,MANUAL,Second, Coimbatore,"5,50,000"
306,Maruti Suzuki ,Wagon R ,VXI,2016,80000.0 KM,PETROL,MANUAL,--, Thiruvananthapuram,"3,75,000"
307,Toyota ,Innova ,2.5 GX 7 STR BS-III,2007,"140,000 KM",DIESEL,MANUAL,2nd, Hyderabad,"5,00,000"
308,Toyota ,Fortuner ,2.8 2WD AT,2012,130000.0 KM,DIESEL,AUTOMATIC,1st, Nashik,"14,11,000"
309,Maruti Suzuki ,Swift Dzire ,LDI Optional,2013,64000.0 KM,DIESEL,MANUAL,1st, Delhi,"2,40,000"
310,Maruti Suzuki ,Eeco ,5 STR With AC Plus HTR CNG,2018,38400.0 KM,CNG & HYBRIDS,MANUAL,1st, Delhi,"4,00,000"
311,Chevrolet ,Cruze ,2012 LTZ AT,2012,50000.0 KM,DIESEL,AUTOMATIC,1st, Thane,"5,00,000"
312,Tata ,Others ,,2011,"90,000 KM",DIESEL,MANUAL,3rd, Kota,"3,50,000"
313,Honda ,City ZX ,VTEC,2008,126000.0 KM,PETROL,MANUAL,2nd, Coimbatore,"3,15,000"
314,Maruti Suzuki ,Alto 800 ,LXI,2016,23000.0 KM,PETROL,MANUAL,1st, Kozhikode,"2,85,000"
315,Renault ,Duster ,85PS Diesel RxE,2013,87000.0 KM,DIESEL,MANUAL,1st, Dehradun,"3,50,000"
316,Maruti Suzuki ,800 ,Others,2017,"6,000 KM",PETROL,AUTOMATIC,1st, Tinsukia,"3,00,000"
317,Maruti Suzuki ,Swift ,2004-2010 Vdi BSIII,2009,"132,000 KM",DIESEL,MANUAL,2nd, Guwahati,"2,20,000"
318,Maruti Suzuki ,Wagon R 1.0 ,LXi CNG,2013,62000.0 KM,CNG & HYBRIDS,MANUAL,1st, Ghaziabad,"3,00,000"
319,Maruti Suzuki ,800 ,AC,1998,"35,400 KM",PETROL,AUTOMATIC,2nd, Nashik,"40,000"
320,Isuzu ,MU-X ,2WD,2017,24459.0 KM,DIESEL,AUTOMATIC,1st, Mumbai,"18,75,000"
321,Hyundai ,EON ,Sportz,2011,70000.0 KM,PETROL,MANUAL,2nd, Visakhapatnam,"2,30,000"
322,Maruti Suzuki ,S Cross ,Delta DDiS 200 SH,2016,70000.0 KM,DIESEL,MANUAL,1st, Gandhinagar,"5,95,000"
323,Honda ,Accord ,2.4 Manual,2012,67000.0 KM,PETROL,MANUAL,2nd, Delhi,"5,85,000"
324,Tata ,Aria ,2010-2013 Pleasure 4x2,2012,99492.0 KM,DIESEL,MANUAL,2nd, Mumbai,"2,84,000"
325,Volvo ,V40 ,D3,2016,35000.0 KM,DIESEL,AUTOMATIC,1st, Gurgaon,"17,45,000"
326,Hyundai ,i10 ,Magna,2011,20000.0 KM,PETROL,--,2nd, Delhi,"2,10,000"
327,Maruti Suzuki ,Swift Dzire ,LDI,2013,68000.0 KM,DIESEL,MANUAL,2nd, Krishnanagar,"3,80,000"
328,Maruti Suzuki ,Swift Dzire ,VDI Optional,2017,119000.0 KM,DIESEL,MANUAL,1st, Visakhapatnam,"6,70,000"
329,Honda ,City ,2008-2011 1.5 S MT,2010,53698.0 KM,PETROL,MANUAL,2nd, Kolkata,"1,99,000"
330,Mah,XUV500 ,W11,2019,23000.0 KM,DIESEL,MANUAL,1st, Chennai,"17,50,000"
331,Renault ,Duster ,2012-2015 85PS Diesel RxL,2013,124000.0 KM,DIESEL,MANUAL,1st, Chandigarh,"4,65,000"
332,-,-,-,-,-,-,-,-,-,-
333,Maruti Suzuki ,Alto K10 ,VXI,2018,8697 KM,PETROL,MANUAL,First, Bengaluru,"3,20,000"
334,Honda ,Amaze ,SX i VTEC,2016,38000.0 KM,PETROL,MANUAL,1st, Kolkata,"3,55,000"
335,Hyundai ,i10 ,Era,2012,35000.0 KM,PETROL,MANUAL,1st, Mumbai,"2,45,000"
336,Mercedes-Benz ,New C-Class ,C 220d Avantgarde Edition C,2017,18000.0 KM,DIESEL,AUTOMATIC,1st, Kolkata,"27,25,000"
337,Hyundai ,Grand i10 ,Magna 1.2 Kappa VTVT,2013,999999 KM,DIESEL,MANUAL,Second, Gurgaon,"3,25,000"
338,Hyundai ,Verna ,2011-2014 1.6 SX,2014,78283 KM,DIESEL,MANUAL,First, Delhi,"4,50,000"
339,Maruti Suzuki ,Baleno ,1.2 Delta,2019,39291.0 KM,PETROL,MANUAL,1st, Greater Noida,"6,13,600"
340,Hyundai ,Elite i20 ,Sportz 1.2,2018,17000.0 KM,PETROL,MANUAL,1st, Mumbai,"6,49,000"
341,Maruti Suzuki ,Alto ,,2002,85000.0 KM,PETROL,MANUAL,2nd, Chennai,"69,000"
342,Honda ,Accord ,2.4 Automatic,2008,86000.0 KM,PETROL,AUTOMATIC,1st, Kolkata,"3,20,000"
343,Hyundai ,i20 ,2010-2012 1.2 Sportz,2011,89390 KM,PETROL,MANUAL,First, Pune,"3,50,000"
344,Hyundai ,Xcent ,1.2 CRDi S,2015,85000.0 KM,DIESEL,MANUAL,1st, Noida,"2,95,000"
345,Toyota ,Etios ,2014-2016 GD,2014,146000.0 KM,DIESEL,MANUAL,2nd, Visakhapatnam,"4,70,000"
346,-,-,-,-,-,-,-,-,-,-
347,Honda ,City ZX ,EXi,2004,87000.0 KM,PETROL,MANUAL,3rd, Bengaluru,"1,18,000"
348,Honda ,WR-V ,i-DTEC VX,2019,34500.0 KM,DIESEL,MANUAL,1st, Bengaluru,"9,50,000"
349,Tata ,Others ,,2017,"55,000 KM",DIESEL,MANUAL,2nd, Namsai,"55,000"
350,Mah,Bolero ,ZLX,2014,89000.0 KM,DIESEL,MANUAL,2nd, Chennai,"5,95,000"
351,Mercedes-Benz ,CLA ,Others,2018,18000.0 KM,DIESEL,AUTOMATIC,1st, Delhi,"28,00,000"
352,Hyundai ,i20 ,Magna Plus,2010,81000.0 KM,PETROL,MANUAL,2nd, Ghaziabad,"2,54,999"
353,Toyota ,Fortuner ,2.7 2WD AT,2017,46000.0 KM,PETROL,AUTOMATIC,2nd, Delhi,"25,00,000"
354,Ford ,Figo ,1.2P Trend MT,2010,78000.0 KM,PETROL,MANUAL,1st, Bengaluru,"2,60,000"
355,Ford ,Figo ,1.5D Titanium Opt MT,2012,60000.0 KM,DIESEL,MANUAL,1st, Dehradun,"2,20,000"
356,Hyundai ,Accent ,CRDi,2016,"136,000 KM",DIESEL,MANUAL,1st, Thane,"1,70,000"
357,Hyundai ,Creta ,1.6 VTVT S,2016,46393.0 KM,PETROL,MANUAL,1st, Gurgaon,"8,07,600"
358,Hyundai ,Grand i10 ,2016-2017 Asta Option AT,2016,30000 KM,PETROL,MANUAL,First, Patna,"4,20,000"
359,Hyundai ,Grand i10 ,1.2 Kappa Sportz,2016,65000.0 KM,CNG & HYBRIDS,MANUAL,1st, Delhi,"4,25,000"
360,-,-,-,-,-,-,-,-,-,-
361,Maruti Suzuki ,Zen Estilo ,1.1 VXI BSIII,2007,99996.0 KM,PETROL,MANUAL,--, Mumbai,"99,500"
362,Maruti Suzuki ,Swift ,ZXI Plus,2018,30387.0 KM,PETROL,MANUAL,1st, Bengaluru,"7,75,000"
363,Honda ,City ,i-VTEC S,2014,65000.0 KM,PETROL,MANUAL,1st, Delhi,"5,59,000"
364,Hyundai ,Creta ,Others,2015,71230.0 KM,DIESEL,MANUAL,1st, Ahmedabad,"9,75,000"
365,Mah,Scorpio ,2002-2013 VLS 2.2 mHawk,2011,96000.0 KM,DIESEL,MANUAL,2nd, Ahmedabad,"3,75,000"
366,Volkswagen ,Polo ,1.0 MPI Trendline,2011,60000.0 KM,PETROL,MANUAL,1st, Delhi,"2,60,000"
367,Honda ,City ,2008-2011 1.5 V AT,2011,48000.0 KM,PETROL,AUTOMATIC,1st, Kolkata,"3,35,000"
368,-,-,-,-,-,-,-,-,-,-
369,Toyota ,Innova Crysta ,2.8 Z,2016,38000.0 KM,DIESEL,MANUAL,1st, Kolkata,"16,25,000"
370,Hyundai ,Grand i10 ,1.2 Kappa Era,2008,64000.0 KM,PETROL,MANUAL,3rd, Bengaluru,"2,15,000"
371,Honda ,Civic ,1.8 S MT,2007,49108.0 KM,PETROL,AUTOMATIC,2nd, Mumbai,"1,99,000"
372,Maruti Suzuki ,Vitara Brezza ,VDi,2016,40.0 KM,DIESEL,MANUAL,2nd, Gurgaon,"6,00,000"
373,Mah,Bolero ,2001-2010 SLX 2WD,2001,163522 KM,DIESEL,MANUAL,4+, Ambattur,"2,10,000"
374,Maruti Suzuki ,Celerio ,VXI AMT,2016,38000.0 KM,PETROL,MANUAL,1st, Kannur,"4,40,000"
375,Chevrolet ,Beat ,2014-2016 LT,2014,54000.0 KM,PETROL,MANUAL,2nd, Coimbatore,"2,63,000"
376,Hyundai ,Verna ,CRDi 1.6 SX,2012,92000.0 KM,DIESEL,MANUAL,2nd, Visakhapatnam,"4,80,000"
377,BMW ,X3 ,2011-2013 xDrive20d,2012,89000.0 KM,DIESEL,AUTOMATIC,1st, Jaipur,"15,25,000"
378,Maruti Suzuki ,Swift ,VVT VXI,2005,130000.0 KM,PETROL,MANUAL,2nd, Coimbatore,"2,10,000"
379,Maruti Suzuki ,Swift Dzire ,VXI,2008,69000.0 KM,PETROL,MANUAL,1st, Kolkata,"2,00,000"
380,Honda ,City ,2014-2015 i DTEC E,2014,65618 KM,DIESEL,MANUAL,First, Delhi,"5,50,000"
381,Maruti Suzuki ,Omni ,5 Seater,2011,100000.0 KM,PETROL,MANUAL,2nd, Kochi,"1,40,000"
382,Jaguar ,XF ,3.0 Litre S Premium Luxury,2014,28570 KM,DIESEL,AUTOMATIC,Second, Pune,"26,50,000"
383,Ford ,Ecosport ,1.5 Diesel Ambiente,2013,113000.0 KM,DIESEL,MANUAL,1st, Thane,"4,85,000"
384,Toyota ,Etios Liva ,1.4 VD,2018,73000.0 KM,DIESEL,MANUAL,1st, Coimbatore,"7,60,000"
385,Maruti Suzuki ,Swift Dzire ,VXI,2014,51000.0 KM,PETROL,MANUAL,1st, Chennai,"4,70,000"
386,Maruti Suzuki ,Wagon R ,VXI AMT Opt 1.2,2018,44000.0 KM,PETROL,MANUAL,1st, Chennai,"4,25,000"
387,Hyundai ,i20 ,1.2 Magna Executive,2012,59000.0 KM,PETROL,MANUAL,2nd, Mumbai,"3,25,000"
388,Renault ,Duster ,Petrol RXS,2018,16400.0 KM,PETROL,MANUAL,1st, Bengaluru,"9,30,000"
389,Ford ,Ecosport ,1.5 Diesel Trend,2016,90000.0 KM,DIESEL,MANUAL,3rd, Tiruppur,"5,40,000"
390,Hyundai ,EON ,Era Plus Option,2017,59000.0 KM,PETROL,MANUAL,1st, Visakhapatnam,"3,10,000"
391,Ford ,Figo ,1.5D Titanium Opt MT,2013,"84,000 KM",DIESEL,MANUAL,1st, Kundapura,"2,50,000"
392,Honda ,City ZX ,GXi,2007,79904.0 KM,PETROL,AUTOMATIC,1st, Mumbai,"1,95,000"
393,Maruti Suzuki ,Ritz ,VDI (ABS) BS IV,2013,"82,000 KM",DIESEL,MANUAL,1st, Bhiwani,"2,85,000"
394,Tata ,Sumo Victa ,Victa DI EX BSIII,2007,81000.0 KM,DIESEL,MANUAL,2nd, Chennai,"1,90,000"
395,Kia ,Seltos ,HTX Plus AT D,2019,25000.0 KM,DIESEL,AUTOMATIC,1st, Ahmedabad,"13,50,000"
396,Maruti Suzuki ,Swift ,2011-2014 ZXI,2014,45000.0 KM,PETROL,MANUAL,1st, Gurgaon,"4,40,000"
397,Maruti Suzuki ,Eeco ,5 Seater Standard,2018,"38,000 KM",PETROL,MANUAL,2nd, Kozhikode,"4,00,000"
398,Maruti Suzuki ,Alto K10 ,VXI,2016,50000 KM,PETROL,MANUAL,First, Dehradun,"3,15,000"
399,Chevrolet ,Beat ,2010-2013 LT,2012,60000.0 KM,DIESEL,MANUAL,2nd, Hyderabad,"2,28,000"
400,Maruti Suzuki ,Swift Dzire ,VDI,2017,42000.0 KM,DIESEL,MANUAL,2nd, Krishnanagar,"6,10,000"
401,Maruti Suzuki ,Wagon R ,LXI,2006,95000.0 KM,PETROL,MANUAL,2nd, Bengaluru,"1,80,000"
402,Hyundai ,Grand i10 ,,2013,90076.0 KM,DIESEL,MANUAL,--, Delhi,"2,79,000"
403,Hyundai ,i10 ,Sportz 1.2 KAPPA VTVT,2018,31000.0 KM,PETROL,MANUAL,2nd, Chennai,"4,60,000"
404,Honda ,Amaze ,1.2 SMT I VTEC,2016,"82,500 KM",CNG & HYBRIDS,MANUAL,1st, Batala,"3,95,000"
405,-,-,-,-,-,-,-,-,-,-
406,Hyundai ,Elite i20 ,Sportz 1.2,2017,35000.0 KM,PETROL,MANUAL,1st, Kolkata,"5,25,000"
407,Hyundai ,Creta ,1.6 CRDi SX Plus,2018,34000.0 KM,DIESEL,MANUAL,1st, Delhi,"12,00,000"
408,Toyota ,Innova ,2.5 V 8 STR,2010,140000 KM,DIESEL,MANUAL,Fourth, Behat,"4,00,000"
409,BMW ,3 Series GT ,320d GT Luxury Line,2016,58000.0 KM,DIESEL,AUTOMATIC,1st, Karnal,"23,99,000"
410,Toyota ,Yaris ,G CVT,2018,33506 KM,PETROL,AUTOMATIC,First, Mumbai,"8,80,000"
411,Maruti Suzuki ,Alto ,2000-2005 LXi BSII,2004,"76,000 KM",PETROL,AUTOMATIC,1st, Honnali,"1,20,000"
412,Hyundai ,Verna ,2011-2014 1.6 SX,2014,"115,000 KM",DIESEL,MANUAL,1st, Meerut,"4,50,000"
413,Maruti Suzuki ,Alto K10 ,LXI,2014,"85,000 KM",CNG & HYBRIDS,MANUAL,1st, Nava Bhildi,"2,50,000"
414,-,-,-,-,-,-,-,-,-,-
415,Hyundai ,Venue ,SX Turbo,2020,"15,000 KM",PETROL,MANUAL,1st, Auraiya,"9,90,000"
416,BMW ,5 Series ,520d Luxury Line,2015,34000.0 KM,DIESEL,AUTOMATIC,2nd, Kolkata,"21,99,000"
417,Maruti Suzuki ,Ertiga ,VXI AT Petrol,2019,18.0 KM,PETROL,AUTOMATIC,1st, Greater Noida,"9,06,800"
418,Mah,Bolero ,SLE,2011,112000.0 KM,DIESEL,MANUAL,2nd, Mangaluru,"4,20,000"
419,Toyota ,Innova ,2.5 V 8 STR,2012,60000.0 KM,DIESEL,MANUAL,2nd, Ahmedabad,"7,25,000"
420,Hyundai ,Santro X,Others,2009,40000 KM,PETROL,MANUAL,First, Dehradun,"1,45,000"
421,Maruti Suzuki ,SX4 ,VDI,2014,78000.0 KM,DIESEL,MANUAL,1st, Ghaziabad,"3,74,999"
422,Toyota ,Innova ,2.5 V 7 STR,2011,170000.0 KM,DIESEL,MANUAL,2nd, Chandigarh,"5,90,000"
423,Mercedes-Benz ,E-Class ,1993-2009 220 petrol,2004,"89,485 KM",PETROL,AUTOMATIC,3rd, Malappuram,"3,85,000"
424,Maruti Suzuki ,Alto ,LXi,2009,72000.0 KM,PETROL,MANUAL,2nd, Visakhapatnam,"1,50,000"
425,Maruti Suzuki ,Swift Dzire ,,2016,"46,110 KM",DIESEL,--,--, Kolkata,"80,670"
426,Hyundai ,Getz ,Prime 1.1 GLE,2006,90000.0 KM,PETROL,MANUAL,2nd, Pudukkottai,"1,40,000"
427,Maruti Suzuki ,Alto 800 ,LXI,2019,14500.0 KM,PETROL,MANUAL,1st, Coimbatore,"3,87,000"
428,Maruti Suzuki ,Vitara Brezza ,VDi Option,2017,"40,000 KM",DIESEL,MANUAL,1st, Poothakkulam,"9,00,000"
429,Skoda ,Rapid ,1.5 TDI Ambition,2014,49000.0 KM,DIESEL,MANUAL,1st, Chennai,"5,39,999"
430,Mah,Scorpio ,S10,2017,75000.0 KM,DIESEL,MANUAL,1st, Ghaziabad,"11,49,999"
431,Maruti Suzuki ,Wagon R 1.0 ,LXi CNG,2018,57500.0 KM,CNG & HYBRIDS,MANUAL,1st, Navi Mumbai,"4,55,000"
432,Maruti Suzuki ,Wagon R ,LXI,2007,85000.0 KM,PETROL,MANUAL,1st, Delhi,"1,10,000"
433,Honda ,Amaze ,2013-2016 SX i-DTEC,2014,79000.0 KM,DIESEL,MANUAL,2nd, Ghaziabad,"3,74,999"
434,Maruti Suzuki ,Ciaz ,1.4 AT Alpha,2017,80000.0 KM,CNG & HYBRIDS,AUTOMATIC,1st, Nashik,"8,00,000"
435,Hyundai ,Elantra ,2.0 SX Option AT,2017,19070.0 KM,DIESEL,AUTOMATIC,1st, Bengaluru,"17,75,000"
436,Maruti Suzuki ,Wagon R 1.0 ,1.0 VXi,2015,60000.0 KM,PETROL,MANUAL,1st, Guwahati,"3,80,000"
437,Hyundai ,i20 ,2009-2011 Asta,2009,100292 KM,PETROL,MANUAL,Second, Chennai,"2,59,000"
438,Maruti Suzuki ,Alto 800 ,800 Std CNG,2005,50000 KM,CNG,MANUAL,Second, Bhopal,"85,000"
439,Volkswagen ,Ameo ,1.5 TDI Highline AT,2017,35393.0 KM,DIESEL,AUTOMATIC,1st, Mumbai,"6,75,000"
440,Volkswagen ,Polo ,2009-2013 Diesel Highline 1.2L,2012,65000 KM,DIESEL,MANUAL,First, Delhi,"2,25,000"
441,Volkswagen ,Vento ,1.6 Trendline,2010,61666.0 KM,PETROL,MANUAL,1st, Nashik,"2,75,000"
442,Hyundai ,i10 ,1.2 Kappa SPORTZ,2009,106000.0 KM,PETROL,AUTOMATIC,3rd, Thiruvananthapuram,"2,50,000"
443,Mah,Logan ,1.4 GLX BSIV Petrol,2008,20000 KM,PETROL,MANUAL,Third, Nagpur,"1,20,000"
444,Honda ,Amaze ,1.2 SMT I VTEC,2014,42000.0 KM,PETROL,MANUAL,1st, Kolkata,"3,25,000"
445,Mah,XUV500 ,W10 AWD,2016,83585.0 KM,DIESEL,MANUAL,1st, Secunderabad,"9,90,000"
446,Ford ,Figo ,2012-2015 Petrol ZXI,2012,47000.0 KM,PETROL,MANUAL,1st, Kolkata,"2,15,000"
447,Maruti Suzuki ,Ritz ,VXi,2013,92000.0 KM,PETROL,MANUAL,2nd, Kochi,"3,40,000"
448,BMW ,3 Series GT ,Others,2009,"87,000 KM",DIESEL,MANUAL,2nd, Kasaragod,"7,00,000"
449,Honda ,WR-V ,i-VTEC S,2017,37000.0 KM,PETROL,MANUAL,1st, Ghaziabad,"7,10,000"
450,Mah,Xylo ,D2 BS IV,2011,"82,000 KM",DIESEL,MANUAL,1st, Palakkad,"3,30,000"
451,Maruti Suzuki ,Swift ,ZXI Plus,2018,30387.0 KM,PETROL,MANUAL,1st, Bengaluru,"7,75,000"
452,-,-,-,-,-,-,-,-,-,-
453,Maruti Suzuki ,Wagon R ,LXI CNG,2017,67000.0 KM,CNG & HYBRIDS,MANUAL,2nd, Ghaziabad,"3,75,001"
454,Honda ,City ,2015-2017 i DTec SV,2016,62000.0 KM,DIESEL,MANUAL,2nd, Pune,"6,50,000"
